Epoch,maxout,relu,tanh
1,0.2072,0.3697,0.2491
2,0.3637,0.4027,0.3055
3,0.3833,0.4263,0.3317
4,0.3526,0.4255,0.2861
5,0.4157,0.4551,0.3325
6,0.4448,0.4415,0.3524
7,0.4097,0.4644,0.3687
8,0.3817,0.4712,0.3286
9,0.4735,0.4631,0.3451
10,0.4603,0.4616,0.375
11,0.448,0.4619,0.3613
12,0.4605,0.4739,0.3495
13,0.4558,0.4714,0.3465
14,0.4539,0.4601,0.3545
15,0.416,0.4748,0.3662
16,0.4613,0.4672,0.3594
17,0.4412,0.476,0.3787
18,0.4693,0.4539,0.3585
19,0.4694,0.4713,0.3611
20,0.4544,0.4827,0.3683
21,0.4573,0.4687,0.3701
22,0.4064,0.4682,0.3666
23,0.4511,0.4611,0.364
24,0.436,0.461,0.3664
25,0.4599,0.47,0.3789
26,0.4836,0.4832,0.3535
27,0.4699,0.4754,0.3955
28,0.4546,0.4787,0.3772
29,0.4662,0.476,0.3636
30,0.4706,0.4805,0.3619
31,0.4629,0.4709,0.3873
32,0.4854,0.4692,0.3885
33,0.4716,0.4765,0.3877
34,0.4749,0.4848,0.3824
35,0.4409,0.4726,0.3994
36,0.4731,0.4766,0.382
37,0.4696,0.476,0.3925
38,0.4706,0.4701,0.3972
39,0.4721,0.4878,0.3924
40,0.4561,0.479,0.4025
41,0.4905,0.4842,0.4067
42,0.4747,0.4702,0.3973
43,0.4942,0.471,0.3797
44,0.4818,0.4877,0.3837
45,0.4567,0.4615,0.3788
46,0.471,0.4308,0.3829
47,0.4658,0.481,0.3894
48,0.458,0.4827,0.3962
49,0.478,0.4796,0.3955
50,0.4587,0.4744,0.3893
51,0.4937,0.4789,0.3939
52,0.4708,0.4767,0.3781
53,0.4749,0.4823,0.3655
54,0.4799,0.481,0.383
55,0.4783,0.467,0.409
56,0.4785,0.4847,0.3823
57,0.4875,0.4762,0.354
58,0.4766,0.4739,0.3805
59,0.4621,0.4556,0.3964
60,0.4534,0.4778,0.3934
61,0.4883,0.4734,0.4206
62,0.466,0.4819,0.4032
63,0.4835,0.4679,0.4165
64,0.4997,0.4613,0.4046
65,0.4893,0.4786,0.4001
66,0.4774,0.4779,0.4045
67,0.497,0.4674,0.4142
68,0.4736,0.4656,0.4035
69,0.474,0.4732,0.4031
70,0.481,0.476,0.4089
71,0.4554,0.4771,0.3972
72,0.488,0.4717,0.4079
73,0.4781,0.4703,0.4055
74,0.4581,0.4743,0.4211
75,0.476,0.4784,0.3837
76,0.4692,0.4836,0.4188
77,0.4653,0.4609,0.3998
78,0.4877,0.4712,0.4066
79,0.4729,0.4672,0.3928
80,0.4703,0.4672,0.3823
81,0.4802,0.4695,0.396
82,0.4823,0.4662,0.4174
83,0.4635,0.4749,0.4154
84,0.437,0.4637,0.4093
85,0.4765,0.4749,0.3904
86,0.4561,0.4582,0.3993
87,0.4853,0.4693,0.4141
88,0.4637,0.4765,0.4158
89,0.4849,0.4709,0.3983
90,0.466,0.4733,0.395
91,0.4803,0.4701,0.3606
92,0.469,0.468,0.4137
93,0.4775,0.4529,0.3819
94,0.4732,0.484,0.397
95,0.4786,0.4747,0.4003
96,0.4608,0.4743,0.4074
97,0.4735,0.4677,0.398
98,0.4883,0.4609,0.4186
99,0.4692,0.4785,0.3995
100,0.4895,0.4576,0.3994
101,0.4636,0.4705,0.4052
102,0.4598,0.466,0.4134
103,0.4764,0.4648,0.4057
104,0.466,0.4714,0.3972
105,0.4615,0.4729,0.4031
106,0.4475,0.4574,0.4082
107,0.4843,0.4695,0.4081
108,0.4894,0.473,0.378
109,0.4753,0.4613,0.406
110,0.4327,0.4703,0.3745
111,0.445,0.4677,0.4087
112,0.4685,0.4611,0.4043
113,0.4811,0.4654,0.3872
114,0.4549,0.466,0.4062
115,0.4655,0.4685,0.4094
116,0.4852,0.4578,0.3868
117,0.4102,0.4767,0.4151
118,0.4718,0.469,0.4032
119,0.486,0.4679,0.4042
120,0.4819,0.4646,0.4035
121,0.4624,0.4645,0.4062
122,0.4822,0.453,0.4085
123,0.4809,0.4584,0.3938
124,0.4765,0.4608,0.3937
125,0.4422,0.4644,0.3915
126,0.4688,0.4698,0.4291
127,0.4753,0.4604,0.4144
128,0.485,0.4665,0.4242
129,0.4326,0.4624,0.4222
130,0.4831,0.4611,0.4242
131,0.4555,0.4672,0.3937
132,0.4491,0.4664,0.3975
133,0.463,0.4627,0.4208
134,0.4837,0.4701,0.4015
135,0.4621,0.4614,0.4194
136,0.4656,0.4696,0.4178
137,0.4605,0.4667,0.419
138,0.4599,0.4555,0.4166
139,0.4589,0.4717,0.4222
140,0.4443,0.4596,0.4242
141,0.4603,0.4617,0.3948
142,0.4665,0.4646,0.4011
143,0.47,0.4578,0.4065
144,0.4586,0.4689,0.4086
145,0.456,0.464,0.4133
146,0.4784,0.4743,0.4177
147,0.4712,0.4597,0.4119
148,0.48,0.4665,0.4167
149,0.4642,0.4548,0.4283
150,0.4558,0.4694,0.3945
